sep=,
DeviceTag:,Xsens DOT7
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-17_11:42:38_431 GMT+8
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
16186,1802384661,-177.665665,-2.264521,-120.530411,2.456654,2.596739,-29.705442,-459.856262,-47.530994,-94.794853
16187,1802401328,173.873108,-0.842058,-118.223022,-5.180761,8.141951,-28.653986,-502.595001,-82.338394,-140.128525
16188,1802417995,164.434036,0.394565,-116.099709,-15.165989,12.071989,-24.801357,-564.439514,-50.493839,-138.086258
16189,1802434662,153.623062,0.446334,-114.417419,-20.515036,16.378345,-15.299845,-647.877319,31.727301,-94.340927
16190,1802451329,143.042313,1.397098,-112.813667,-24.257765,17.342718,1.280401,-634.671204,0.438407,-110.819153
16191,1802467996,133.875854,5.036030,-112.072067,-25.337023,15.393695,20.756357,-550.431335,-135.595322,-177.046875
16192,1802484663,127.144135,9.521566,-113.512146,-20.146353,3.870888,40.506245,-390.679138,-241.593597,-147.815460
16193,1802501330,121.727112,12.883236,-116.613968,-9.101424,-1.453815,49.067352,-286.535858,-266.166473,-61.959763
16194,1802517997,117.691536,14.658923,-119.298943,6.844849,-6.260313,54.956203,-201.548935,-190.201462,-13.908385
16195,1802534664,115.757690,15.652284,-120.666847,14.661022,-15.868288,53.460354,-92.472160,-99.059822,-16.552063
16196,1802551331,116.023430,15.937403,-121.156654,18.652397,-17.490772,45.005161,25.890694,-34.458202,-1.998687
16197,1802567998,117.911728,15.972712,-121.061089,20.228338,-12.261753,34.432964,113.514305,2.350642,-3.340522
16198,1802584665,120.938950,15.903536,-120.507462,17.544716,-7.019555,27.504017,174.162354,28.223314,-10.997371
16199,1802601332,124.709747,15.510764,-119.560165,12.331926,-2.912822,22.452160,212.407150,57.106407,-8.733680
16200,1802617999,128.965668,14.915930,-118.317894,5.960854,0.274368,18.969749,237.276123,77.321922,-13.406717
16201,1802634666,133.809158,14.139988,-117.029320,0.065914,1.487384,18.802691,272.674774,85.306793,-13.382279
16202,1802651333,139.403687,13.180881,-115.901375,-5.126973,3.068764,17.861860,321.159180,85.392418,-7.079059
16203,1802668000,145.882660,12.138385,-115.027023,-9.530921,5.615336,14.362667,378.752045,79.195389,-1.567774
16204,1802684667,152.680710,10.964282,-114.395676,-13.021148,7.772869,7.634542,401.876099,77.956345,5.238632
16205,1802701334,159.177475,9.952676,-113.832649,-15.554249,9.098036,2.141551,385.342560,67.410126,-4.436797
16206,1802718001,165.498520,8.368141,-113.128098,-16.280319,8.439304,-2.836244,374.283539,101.720421,-9.801303
16207,1802734668,171.702621,6.415411,-112.906105,-15.529801,8.140827,-8.744846,372.371826,115.941345,11.327025
16208,1802751335,177.684006,4.378181,-113.215927,-13.303114,7.101296,-14.027280,362.556122,118.473885,30.853559
16209,1802768002,-176.450989,2.653285,-113.938133,-9.672846,5.520304,-17.773390,356.561737,102.415787,43.264057
16210,1802784669,-170.582092,1.368396,-114.733017,-5.148377,3.846983,-20.948280,355.869263,80.431595,39.786610
16211,1802801336,-164.789490,0.536592,-115.344940,0.013011,1.193531,-23.727959,350.259277,55.027493,26.353273
16212,1802818003,-159.647156,-0.107535,-115.956902,4.916121,-2.744774,-25.089474,310.764435,46.446686,24.295614
16213,1802834670,-155.592972,-0.736589,-116.805809,10.292425,-5.917950,-25.665010,244.922882,52.717754,33.867596
16214,1802851337,-152.938599,-1.474972,-117.859276,15.149286,-9.868408,-25.716959,160.022079,65.764709,38.833153
16215,1802868004,-151.851944,-1.976198,-118.611183,19.612389,-13.097766,-26.187216,65.727791,45.954136,27.169720
16216,1802884671,-152.781662,-2.159687,-118.644020,20.744873,-13.347876,-25.684982,-54.086124,9.071313,-2.224563
16217,1802901338,-155.586548,-2.059952,-117.943710,18.574749,-11.217178,-25.934887,-165.094421,-25.268902,-34.051579
16218,1802918005,-159.899643,-1.674400,-116.838531,13.272325,-7.899120,-26.547802,-255.064865,-48.117378,-51.444836
16219,1802934672,-165.627136,-0.988817,-115.833740,6.928401,-3.600647,-27.590746,-340.747833,-58.767521,-44.249012
16220,1802951339,-172.505447,-0.071187,-115.020126,0.663923,1.335727,-26.361227,-410.768799,-64.953522,-36.360268
16221,1802968006,-179.865738,1.241884,-114.195274,-3.157068,6.020494,-24.041317,-440.619598,-83.552582,-43.019199
16222,1802984673,172.787964,3.126114,-113.100578,-6.438176,10.708680,-21.646671,-441.713196,-110.441147,-71.387817
