PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
162,1535312653,7.834301,-23.460768,59.733093,-0.076503,-1.33793,-0.721213,23.065386,-10.224058,48.671932
163,1535329320,7.770576,-24.122322,60.500599,-0.203337,-1.210064,-0.492038,13.054701,-34.702114,48.317459
164,1535345987,7.538122,-24.926497,61.352188,-0.05169,-1.01128,-0.607973,5.599471,-42.757168,53.675579
165,1535362654,7.15637,-25.956518,62.145947,-0.006083,-1.261978,-0.17168,-4.066447,-56.942364,51.73365
166,1535379321,6.691444,-27.300192,62.992001,0.200428,-1.127007,-0.066482,-6.715488,-75.743034,55.936745
167,1535395988,6.486334,-28.267145,64.011002,0.356257,-0.532299,-0.257431,14.671707,-52.627426,61.553391
168,1535412655,6.453794,-28.802317,64.998878,0.08162,-0.203778,-0.309499,24.880398,-27.225876,56.510731
169,1535429322,6.329864,-29.50461,65.779602,-0.403196,-0.942337,0.136935,13.922668,-38.491882,46.494942
170,1535445989,5.99088,-30.616692,66.434158,-0.188373,-0.768996,-0.038774,-2.109531,-63.89304,42.108105
171,1535462656,5.721217,-31.583216,66.949158,-0.225853,-0.286695,-0.012374,-1.635664,-56.213276,33.390919
172,1535479323,5.625782,-32.331474,67.333923,-0.351801,-0.703183,-0.00233,5.09146,-43.968166,25.08795
173,1535495990,5.676042,-33.278103,67.738968,-0.686258,-1.420744,0.261827,14.797892,-55.765102,27.082994
174,1535512657,5.935542,-34.522289,68.394272,-0.859644,-0.421987,-0.150249,36.131828,-72.275757,41.197117
175,1535529324,6.264823,-35.471451,68.953682,-1.012796,0.395333,-0.608024,37.628834,-55.025604,34.60677
176,1535545991,6.377985,-36.052937,69.332947,-1.097659,0.203634,-0.818627,18.67664,-33.948956,23.449741
177,1535562658,6.318273,-36.362118,69.662941,-0.985613,-0.09992,-0.895755,6.668123,-17.973015,19.216751
178,1535579325,6.153332,-36.428658,69.931786,-0.806616,-0.110177,-0.833896,-1.796015,-3.874845,14.643258
179,1535595992,5.881987,-36.342911,70.095299,-0.618304,-0.193303,-0.741543,-11.949654,4.612774,8.620166
180,1535612659,5.483102,-36.170475,70.237709,-0.544054,-0.255699,-0.620974,-20.375376,9.627755,7.128937
181,1535629326,5.040291,-36.014038,70.440765,-0.283947,-0.558707,-0.463879,-20.892723,8.878462,10.224005
182,1535645993,4.753535,-35.997654,70.780434,-0.076246,-0.497521,-0.082519,-6.713596,0.990809,17.601702
183,1535662660,4.635369,-35.961704,71.103752,0.375057,-0.374313,0.052082,2.839062,2.024833,16.706968
184,1535679327,4.60415,-35.852654,71.343475,0.767349,-0.480296,0.277293,5.129933,6.047829,12.287023
185,1535695994,4.609541,-35.700741,71.501991,1.135804,-0.514917,0.456875,4.508369,8.293326,8.115381
